"GEO_ID","id",
"B17021_029E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Female householder, no husband present!!All relatives",
"B17021_029M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Female householder, no husband present!!All relatives",
"B17021_030E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Female householder, no husband present!!Non-relatives",
"B17021_030M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Female householder, no husband present!!Non-relatives",
"B17021_031E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement",
"B17021_031M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement",
"B17021_032E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement!!Householder",
"B17021_032M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement!!Householder",
"B17021_033E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement!!Householder!!Living alone",
"B17021_033M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement!!Householder!!Living alone",
"B17021_034E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement!!Householder!!Not living alone",
"B17021_034M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement!!Householder!!Not living alone",
"B17021_035E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement!!Other living arrangement",
"B17021_035M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In non-family households and other living arrangement!!Other living arrangement",
